['Tc:19.1', 'Turb:785', 'Time:0d0h4m52']
Time: 0d0h4m52, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m53']
Time: 0d0h4m53, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m54']
Time: 0d0h4m54, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m54']
Time: 0d0h4m54, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m55']
Time: 0d0h4m55, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m55']
Time: 0d0h4m55, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m56']
Time: 0d0h4m56, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m56']
Time: 0d0h4m56, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m57']
Time: 0d0h4m57, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m57']
Time: 0d0h4m57, Temp: 19.0, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m58']
Time: 0d0h4m58, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m59']
Time: 0d0h4m59, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m59']
Time: 0d0h4m59, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m0s']
Time: 0d0h5m0s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m0s']
Time: 0d0h5m0s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m1s']
Time: 0d0h5m1s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m1s']
Time: 0d0h5m1s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m2s']
Time: 0d0h5m2s, Temp: 19.1, Turbidity: 785
